,profile_type,weight,run,accuracy,average
0,Global,0.25,0,97.66593727206418,97.78264040846098
1,Global,0.25,1,95.62363238512035,97.78264040846098
2,Global,0.25,2,99.70824215900802,97.78264040846098
3,Global,0.25,3,97.59299781181619,97.78264040846098
4,Global,0.25,4,97.95769511305616,97.78264040846098
5,Global,0.25,5,98.90590809628009,97.78264040846098
6,Global,0.25,6,96.06126914660832,97.78264040846098
7,Global,0.25,7,96.71772428884027,97.78264040846098
8,Global,0.25,8,98.61415025528811,97.78264040846098
9,Global,0.25,9,98.97884755652808,97.78264040846098
0,Global,0.25,0,97.66593727206418,98.46097738876732
1,Global,0.25,1,95.62363238512035,98.46097738876732
2,Global,0.25,2,99.70824215900802,98.46097738876732
3,Global,0.25,3,97.59299781181619,98.46097738876732
4,Global,0.25,4,97.95769511305616,98.46097738876732
5,Global,0.25,5,98.90590809628009,98.46097738876732
6,Global,0.25,6,96.06126914660832,98.46097738876732
7,Global,0.25,7,96.71772428884027,98.46097738876732
8,Global,0.25,8,98.61415025528811,98.46097738876732
9,Global,0.25,9,98.97884755652808,98.46097738876732
10,Global,0.5,0,98.39533187454413,98.46097738876732
11,Global,0.5,1,97.88475565280817,98.46097738876732
12,Global,0.5,2,98.17651349380014,98.46097738876732
13,Global,0.5,3,98.39533187454413,98.46097738876732
14,Global,0.5,4,98.24945295404814,98.46097738876732
15,Global,0.5,5,98.39533187454413,98.46097738876732
16,Global,0.5,6,98.97884755652808,98.46097738876732
17,Global,0.5,7,98.32239241429613,98.46097738876732
18,Global,0.5,8,98.97884755652808,98.46097738876732
19,Global,0.5,9,98.83296863603209,98.46097738876732
0,Global,0.25,0,97.66593727206418,97.95769511305616
1,Global,0.25,1,95.62363238512035,97.95769511305616
2,Global,0.25,2,99.70824215900802,97.95769511305616
3,Global,0.25,3,97.59299781181619,97.95769511305616
4,Global,0.25,4,97.95769511305616,97.95769511305616
5,Global,0.25,5,98.90590809628009,97.95769511305616
6,Global,0.25,6,96.06126914660832,97.95769511305616
7,Global,0.25,7,96.71772428884027,97.95769511305616
8,Global,0.25,8,98.61415025528811,97.95769511305616
9,Global,0.25,9,98.97884755652808,97.95769511305616
10,Global,0.5,0,98.39533187454413,97.95769511305616
11,Global,0.5,1,97.88475565280817,97.95769511305616
12,Global,0.5,2,98.17651349380014,97.95769511305616
13,Global,0.5,3,98.39533187454413,97.95769511305616
14,Global,0.5,4,98.24945295404814,97.95769511305616
15,Global,0.5,5,98.39533187454413,97.95769511305616
16,Global,0.5,6,98.97884755652808,97.95769511305616
17,Global,0.5,7,98.32239241429613,97.95769511305616
18,Global,0.5,8,98.97884755652808,97.95769511305616
19,Global,0.5,9,98.83296863603209,97.95769511305616
20,Global,0.75,0,97.4471188913202,97.95769511305616
21,Global,0.75,1,97.73887673231218,97.95769511305616
22,Global,0.75,2,98.10357403355215,97.95769511305616
23,Global,0.75,3,98.54121079504012,97.95769511305616
24,Global,0.75,4,98.32239241429613,97.95769511305616
25,Global,0.75,5,98.97884755652808,97.95769511305616
26,Global,0.75,6,97.08242159008023,97.95769511305616
27,Global,0.75,7,96.06126914660832,97.95769511305616
28,Global,0.75,8,97.95769511305616,97.95769511305616
29,Global,0.75,9,99.34354485776805,97.95769511305616
0,Global,0.25,0,97.66593727206418,97.93581327498177
1,Global,0.25,1,95.62363238512035,97.93581327498177
2,Global,0.25,2,99.70824215900802,97.93581327498177
3,Global,0.25,3,97.59299781181619,97.93581327498177
4,Global,0.25,4,97.95769511305616,97.93581327498177
5,Global,0.25,5,98.90590809628009,97.93581327498177
6,Global,0.25,6,96.06126914660832,97.93581327498177
7,Global,0.25,7,96.71772428884027,97.93581327498177
8,Global,0.25,8,98.61415025528811,97.93581327498177
9,Global,0.25,9,98.97884755652808,97.93581327498177
10,Global,0.5,0,98.39533187454413,97.93581327498177
11,Global,0.5,1,97.88475565280817,97.93581327498177
12,Global,0.5,2,98.17651349380014,97.93581327498177
13,Global,0.5,3,98.39533187454413,97.93581327498177
14,Global,0.5,4,98.24945295404814,97.93581327498177
15,Global,0.5,5,98.39533187454413,97.93581327498177
16,Global,0.5,6,98.97884755652808,97.93581327498177
17,Global,0.5,7,98.32239241429613,97.93581327498177
18,Global,0.5,8,98.97884755652808,97.93581327498177
19,Global,0.5,9,98.83296863603209,97.93581327498177
20,Global,0.75,0,97.4471188913202,97.93581327498177
21,Global,0.75,1,97.73887673231218,97.93581327498177
22,Global,0.75,2,98.10357403355215,97.93581327498177
23,Global,0.75,3,98.54121079504012,97.93581327498177
24,Global,0.75,4,98.32239241429613,97.93581327498177
25,Global,0.75,5,98.97884755652808,97.93581327498177
26,Global,0.75,6,97.08242159008023,97.93581327498177
