,profile_type,weight,run,accuracy,average
0,cognitive,0.25,0,98.7600291757841,98.22757111597375
1,cognitive,0.25,1,94.82129832239241,98.22757111597375
2,cognitive,0.25,2,98.39533187454413,98.22757111597375
3,cognitive,0.25,3,96.57184536834428,98.22757111597375
4,cognitive,0.25,4,98.83296863603209,98.22757111597375
5,cognitive,0.25,5,99.56236323851203,98.22757111597375
6,cognitive,0.25,6,97.4471188913202,98.22757111597375
7,cognitive,0.25,7,99.70824215900802,98.22757111597375
8,cognitive,0.25,8,99.19766593727206,98.22757111597375
9,cognitive,0.25,9,98.97884755652808,98.22757111597375
10,cognitive,0.5,0,98.17651349380014,97.89204959883297
11,cognitive,0.5,1,96.86360320933625,97.89204959883297
12,cognitive,0.5,2,99.19766593727206,97.89204959883297
13,cognitive,0.5,3,98.32239241429613,97.89204959883297
14,cognitive,0.5,4,95.84245076586433,97.89204959883297
15,cognitive,0.5,5,96.57184536834428,97.89204959883297
16,cognitive,0.5,6,98.7600291757841,97.89204959883297
17,cognitive,0.5,7,98.7600291757841,97.89204959883297
18,cognitive,0.5,8,97.22830051057623,97.89204959883297
19,cognitive,0.5,9,99.19766593727206,97.89204959883297
20,cognitive,0.75,0,99.48942377826404,98.48285922684173
21,cognitive,0.75,1,97.3741794310722,98.48285922684173
22,cognitive,0.75,2,97.15536105032822,98.48285922684173
23,cognitive,0.75,3,99.70824215900802,98.48285922684173
24,cognitive,0.75,4,98.24945295404814,98.48285922684173
25,cognitive,0.75,5,99.41648431801605,98.48285922684173
26,cognitive,0.75,6,97.95769511305616,98.48285922684173
27,cognitive,0.75,7,99.41648431801605,98.48285922684173
28,cognitive,0.75,8,97.88475565280817,98.48285922684173
29,cognitive,0.75,9,98.17651349380014,98.48285922684173
30,cognitive,1.0,0,96.57184536834428,97.55652808169219
31,cognitive,1.0,1,98.97884755652808,97.55652808169219
32,cognitive,1.0,2,95.84245076586433,97.55652808169219
33,cognitive,1.0,3,97.66593727206418,97.55652808169219
34,cognitive,1.0,4,96.49890590809628,97.55652808169219
35,cognitive,1.0,5,95.62363238512035,97.55652808169219
36,cognitive,1.0,6,99.12472647702407,97.55652808169219
37,cognitive,1.0,7,98.61415025528811,97.55652808169219
38,cognitive,1.0,8,99.41648431801605,97.55652808169219
39,cognitive,1.0,9,97.22830051057623,97.55652808169219
39,cognitive,1.0,9,97.22830051057623,97.91393143690736
40,cognitive,1.25,0,99.05178701677607,97.91393143690736
41,cognitive,1.25,1,99.12472647702407,97.91393143690736
42,cognitive,1.25,2,97.88475565280817,97.91393143690736
43,cognitive,1.25,3,98.39533187454413,97.91393143690736
44,cognitive,1.25,4,95.33187454412837,97.91393143690736
45,cognitive,1.25,5,97.4471188913202,97.91393143690736
46,cognitive,1.25,6,98.03063457330416,97.91393143690736
47,cognitive,1.25,7,98.97884755652808,97.91393143690736
48,cognitive,1.25,8,96.64478482859226,97.91393143690736
49,cognitive,1.25,9,98.24945295404814,97.91393143690736
50,cognitive,1.5,0,95.33187454412837,96.98030634573304
51,cognitive,1.5,1,97.81181619256017,96.98030634573304
52,cognitive,1.5,2,97.22830051057623,96.98030634573304
53,cognitive,1.5,3,99.41648431801605,96.98030634573304
54,cognitive,1.5,4,94.74835886214443,96.98030634573304
55,cognitive,1.5,5,96.64478482859226,96.98030634573304
56,cognitive,1.5,6,97.00948212983224,96.98030634573304
57,cognitive,1.5,7,97.5200583515682,96.98030634573304
58,cognitive,1.5,8,97.15536105032822,96.98030634573304
59,cognitive,1.5,9,96.93654266958424,96.98030634573304
0,Social,0.25,0,100.0,99.9854121079504
1,Social,0.25,1,99.927060539752,99.9854121079504
2,Social,0.25,2,100.0,99.9854121079504
3,Social,0.25,3,99.927060539752,99.9854121079504
4,Social,0.25,4,100.0,99.9854121079504
5,Social,0.25,5,100.0,99.9854121079504
6,Social,0.25,6,100.0,99.9854121079504
7,Social,0.25,7,100.0,99.9854121079504
8,Social,0.25,8,100.0,99.9854121079504
9,Social,0.25,9,100.0,99.9854121079504
10,Social,0.5,0,100.0,99.927060539752
11,Social,0.5,1,100.0,99.927060539752
12,Social,0.5,2,100.0,99.927060539752
13,Social,0.5,3,99.27060539752006,99.927060539752
14,Social,0.5,4,100.0,99.927060539752
15,Social,0.5,5,100.0,99.927060539752
16,Social,0.5,6,100.0,99.927060539752
17,Social,0.5,7,100.0,99.927060539752
18,Social,0.5,8,100.0,99.927060539752
19,Social,0.5,9,100.0,99.927060539752
20,Social,0.75,0,100.0,99.90517870167761
21,Social,0.75,1,100.0,99.90517870167761
22,Social,0.75,2,100.0,99.90517870167761
23,Social,0.75,3,100.0,99.90517870167761
24,Social,0.75,4,99.927060539752,99.90517870167761
25,Social,0.75,5,99.41648431801605,99.90517870167761
26,Social,0.75,6,100.0,99.90517870167761
27,Social,0.75,7,100.0,99.90517870167761
28,Social,0.75,8,100.0,99.90517870167761
29,Social,0.75,9,99.70824215900802,99.90517870167761
30,Social,1.0,0,99.05178701677607,98.91320204230489
31,Social,1.0,1,97.88475565280817,98.91320204230489
32,Social,1.0,2,99.19766593727206,98.91320204230489
33,Social,1.0,3,98.6870897155361,98.91320204230489
34,Social,1.0,4,98.6870897155361,98.91320204230489
35,Social,1.0,5,99.27060539752006,98.91320204230489
36,Social,1.0,6,99.48942377826404,98.91320204230489
37,Social,1.0,7,99.78118161925602,98.91320204230489
38,Social,1.0,8,99.19766593727206,98.91320204230489
39,Social,1.0,9,97.88475565280817,98.91320204230489
40,Social,1.25,0,95.40481400437638,96.72501823486506
41,Social,1.25,1,96.79066374908825,96.72501823486506
42,Social,1.25,2,95.98832968636032,96.72501823486506
43,Social,1.25,3,96.93654266958424,96.72501823486506
44,Social,1.25,4,97.00948212983224,96.72501823486506
45,Social,1.25,5,97.95769511305616,96.72501823486506
46,Social,1.25,6,94.82129832239241,96.72501823486506
47,Social,1.25,7,98.24945295404814,96.72501823486506
48,Social,1.25,8,97.3741794310722,96.72501823486506
49,Social,1.25,9,96.71772428884027,96.72501823486506
50,Social,1.5,0,98.10357403355215,97.09700948212983
51,Social,1.5,1,96.71772428884027,97.09700948212983
